"Nodes";"DateTime"
3204;2014-05-05
3207;2014-05-05
3207;2014-05-05
3218;2014-05-05
3225;2014-05-05
3229;2014-05-05
3250;2014-05-05
3256;2014-05-05
3251;2014-05-05
3260;2014-05-05
3269;2014-05-05
3261;2014-05-05
3256;2014-05-05
3257;2014-05-05
3270;2014-05-05
3265;2014-05-05
3267;2014-05-05
3266;2014-05-05
3253;2014-05-06
3260;2014-05-06
3248;2014-05-06
3239;2014-05-06
3227;2014-05-06
3218;2014-05-06
3219;2014-05-06
3217;2014-05-06
3224;2014-05-06
3232;2014-05-06
3245;2014-05-06
3248;2014-05-06
3252;2014-05-06
3250;2014-05-06
3256;2014-05-06
3251;2014-05-06
3261;2014-05-06
3266;2014-05-06
3264;2014-05-06
3266;2014-05-06
3257;2014-05-06
3251;2014-05-06
3249;2014-05-06
3258;2014-05-06
3246;2014-05-07
3240;2014-05-07
3241;2014-05-07
3229;2014-05-07
3219;2014-05-07
3218;2014-05-07
3232;2014-05-07
3229;2014-05-07
3231;2014-05-07
3225;2014-05-07
3254;2014-05-07
